SUBJECT_NUMBER;ARMCIRCBCPS_FLEX;BUTTOCK_CIRC;CALF_CIRC;CHEST_CIRC;FOREARM_CIRC-FLEXED;SHOULDER_CIRC;STATURE;THIGH_CIRC-PROXIMAL;WAIST_CIRC_NATURAL;WEIGHT;GENDER;AGE-ANSUR88;WORKOUT
432;338;939;379;923;299;1166;1824;595;776;774;1;20;A3
475;320;934;350;949;287;1132;1744;571;848;726;1;39;A1
476;355;1006;400;1080;310;1208;1763;626;914;868;1;35;A2
478;335;1042;389;1019;307;1186;1859;628;937;916;1;34;A3
481;396;1050;395;1152;348;1231;1669;635;993;899;1;39;A1
485;308;902;341;942;288;1149;1705;556;788;664;1;19;A2
488;324;946;362;882;310;1115;1755;598;746;730;1;19;A3
489;364;1078;379;1025;330;1235;1756;628;919;885;1;36;A1
490;342;1014;365;1029;315;1214;1866;587;871;860;1;38;A2
491;362;1098;428;1074;321;1227;1837;672;941;985;1;20;A3
492;349;1012;395;1031;317;1196;1758;618;896;837;1;33;A1
514;407;1025;389;1008;329;1206;1837;613;789;864;1;21;A2
518;315;908;357;854;287;1093;1835;531;708;674;1;21;A3
520;378;1068;389;1025;319;1229;1756;676;907;903;1;26;A1
532;332;1045;373;995;301;1227;1887;672;946;920;1;26;A2
550;404;1016;413;1092;354;1250;1817;619;928;924;1;27;A3
575;325;951;377;962;301;1114;1720;580;804;711;1;26;A1
579;350;1060;385;1059;308;1263;1836;641;923;911;1;24;A2
682;338;919;356;901;300;1113;1617;578;765;656;1;22;A3
704;293;845;346;852;273;1001;1670;485;683;565;1;22;A1
706;335;984;397;945;308;1125;1796;571;801;774;1;39;A2
747;340;989;359;972;306;1188;1629;607;812;721;1;19;A3
762;285;931;343;916;288;1135;1731;523;775;664;1;35;A1
810;337;975;386;1004;308;1189;1718;624;864;793;1;22;A2
834;343;988;395;974;328;1192;1849;601;799;800;1;23;A3
852;338;1025;390;1053;312;1210;1850;628;886;876;1;21;A1
855;337;1029;385;1030;301;1123;1696;637;885;820;1;31;A2
861;309;899;366;922;284;1126;1858;507;744;645;1;19;A3
863;315;1015;399;1032;312;1215;1795;632;859;820;1;35;A1
903;368;1065;418;1129;318;1273;1851;651;939;965;1;26;A2
915;375;1098;445;1089;338;1279;1763;684;990;1002;1;39;A3
924;351;1069;397;1001;312;1195;1809;650;899;892;1;25;A1
928;383;1042;399;1001;322;1241;1735;682;841;878;1;25;A2
942;315;991;362;981;290;1163;1778;619;872;767;1;23;A3
949;322;995;382;986;301;1189;1708;605;888;784;1;22;A1
978;385;986;413;992;337;1208;1818;621;837;867;1;31;A2
992;331;1094;384;1031;309;1185;1888;659;939;957;1;38;A3
1041;377;1078;414;1072;333;1269;1872;686;968;1037;1;28;A1
1068;344;1005;391;1063;323;1208;1713;603;881;811;1;25;A2
1076;302;923;370;913;300;1040;1747;516;748;639;1;43;A3
1189;298;924;356;955;279;1118;1726;555;761;672;1;37;A1
1196;311;961;349;943;290;1183;1774;582;811;755;1;22;A2
1219;346;1021;388;1073;322;1227;1718;608;946;829;1;25;A3
1223;385;1079;408;1098;319;1258;1740;687;950;956;1;26;A1
1230;356;981;401;965;327;1194;1755;628;770;815;1;21;A2
1285;333;945;389;947;293;1118;1732;591;815;717;1;24;A3
1288;317;935;356;923;280;1072;1685;563;707;659;1;22;A1
1291;304;941;370;939;275;1161;1764;547;774;715;1;21;A2
1335;382;1239;435;1148;333;1193;1711;787;1039;1069;1;34;A3
1343;335;933;387;1017;307;1167;1766;565;794;750;1;30;A1
1366;332;954;397;972;314;1147;1672;581;788;723;1;20;A2
1368;365;1070;442;1053;319;1225;1710;677;896;896;1;23;A3
1380;362;1049;404;1086;312;1208;1726;664;958;902;1;20;A1
1406;313;920;332;952;293;1154;1825;543;745;682;1;19;A2
1418;366;1062;411;1092;323;1254;1789;653;964;926;1;31;A3
1432;322;972;364;1002;297;1121;1661;598;867;739;1;40;A1
1438;331;988;377;992;305;1141;1735;606;875;792;1;30;A2
1441;376;967;405;988;327;1176;1878;585;804;844;1;23;A3
1444;315;968;379;1000;300;1186;1740;576;895;746;1;39;A1
1463;317;962;365;928;295;1180;1738;552;815;740;1;24;A2
1464;342;1020;383;1096;295;1218;1837;621;918;887;1;33;A3
1468;344;1021;390;1012;307;1183;1743;637;898;836;1;25;A1
1469;358;1035;390;986;335;1188;1869;635;810;842;1;26;A2
1470;329;972;393;999;291;1233;1833;565;839;810;1;32;A3
1474;358;952;344;1005;310;1138;1644;597;857;717;1;35;A1
1476;344;1028;380;998;306;1151;1771;637;838;811;1;24;A2
1484;380;1048;408;1097;331;1268;1778;629;948;927;1;39;A3
1493;337;990;390;1024;295;1210;1907;613;839;863;1;24;A1
1496;300;899;348;919;282;1133;1806;497;767;651;1;28;A2
1498;334;1045;412;993;325;1165;1913;623;831;888;1;33;A3
1499;315;940;368;1023;275;1181;1879;559;785;748;1;23;A1
1500;306;986;360;1027;278;1174;1825;558;868;800;1;29;A2
1501;294;915;375;895;262;1091;1690;532;766;630;1;31;A3
1524;330;1067;413;1051;305;1139;1789;651;937;889;1;21;A1
1546;322;945;364;921;310;1164;1799;552;729;711;1;21;A2
1551;342;1006;389;1049;314;1193;1795;582;911;836;1;30;A3
1558;329;1047;408;1016;300;1172;1741;665;911;842;1;28;A1
1559;335;966;368;983;300;1182;1775;589;800;763;1;24;A2
1572;315;927;365;956;294;1095;1724;525;803;695;1;32;A3
1576;322;1014;377;1053;293;1186;1671;572;875;744;1;36;A1
1589;331;1019;387;1012;291;1181;1785;650;857;814;1;26;A2
1593;319;916;379;905;305;1161;1795;568;759;720;1;20;A3
1604;303;904;320;926;279;1069;1741;514;796;642;1;29;A1
1618;328;908;357;918;290;1134;1696;556;796;688;1;20;A2
1648;325;1053;431;1036;287;1201;1790;630;928;885;1;25;A3
1652;382;972;389;1001;342;1195;1761;595;803;813;1;28;A1
1668;265;861;335;847;272;1005;1614;511;737;545;1;30;A2
1683;383;1090;439;1109;344;1271;1860;673;955;1022;1;24;A3
1685;299;938;362;885;293;1085;1726;556;750;665;1;19;A1
1720;289;945;372;950;277;1106;1774;561;840;716;1;24;A2
1729;297;939;357;960;289;1102;1763;539;748;720;1;33;A3
1752;352;1031;380;1002;325;1251;1815;637;824;867;1;34;A1
1794;358;1018;405;1060;327;1218;1728;631;924;854;1;41;A2
1861;341;989;361;971;301;1198;1703;593;856;771;1;22;A3
1890;365;1038;406;936;317;1215;1770;644;866;881;1;21;A1
1909;308;1008;371;1042;289;1196;1704;607;943;788;1;38;A2
1921;332;1024;396;1028;300;1202;1757;625;888;830;1;28;A3
1972;332;1035;381;1016;305;1178;1750;612;921;819;1;35;A1
2044;316;920;344;898;276;1124;1798;526;763;678;1;27;A2
2048;360;1057;419;1072;319;1213;1807;658;900;914;1;41;A3
2061;271;827;338;891;277;1082;1623;471;703;540;1;22;A1
2201;319;961;370;991;309;1161;1654;593;817;734;1;29;A2
2205;283;1001;400;915;293;1159;1847;599;797;792;1;20;A3
2216;324;953;360;945;294;1118;1703;598;763;694;1;26;A1
2222;327;996;388;946;298;1181;1771;578;834;797;1;37;A2
2226;324;989;358;1079;298;1188;1739;583;916;809;1;31;A3
2232;325;1005;360;976;299;1214;1775;629;844;791;1;33;A1
2241;385;1038;390;1064;321;1259;1701;689;926;898;1;24;A2
2244;295;932;371;925;284;1093;1766;537;763;672;1;25;A3
2250;336;1037;386;1112;299;1223;1797;627;965;890;1;34;A1
2252;336;1023;386;992;302;1208;1856;607;891;855;1;37;A2
2256;318;976;396;1011;307;1164;1831;603;825;785;1;22;A3
2257;311;972;368;976;298;1197;1742;582;844;759;1;27;A1
2287;338;985;391;1053;318;1214;1739;611;850;794;1;19;A2
2294;345;1041;403;1001;328;1248;1811;640;875;894;1;27;A3
2299;327;1064;412;982;296;1215;1870;634;860;890;1;20;A1
2300;343;976;397;1020;305;1219;1729;615;841;790;1;22;A2
2335;314;903;369;933;289;1118;1695;548;792;651;1;21;A3
2340;318;982;363;989;302;1168;1826;563;910;781;1;37;A1
2344;315;928;380;913;286;1127;1675;578;773;687;1;27;A2
2357;298;883;347;880;278;1159;1791;516;718;662;1;24;A3
2390;332;955;358;940;286;1077;1711;591;778;698;1;22;A1
2410;358;973;387;1026;321;1153;1730;571;906;776;1;42;A2
2452;314;913;360;931;285;1109;1773;535;762;690;1;19;A3
2481;332;968;410;942;294;1170;1676;589;784;727;1;22;A1
2484;344;986;377;992;311;1159;1853;609;896;835;1;20;A2
2507;320;958;358;927;295;1140;1824;576;839;757;1;35;A3
2594;349;954;399;1002;300;1173;1728;602;821;754;1;27;A1
2626;322;947;366;985;308;1186;1710;587;855;764;1;20;A2
2627;344;920;356;958;292;1121;1777;552;762;696;1;21;A3
2629;357;1046;399;1035;318;1196;1789;632;879;879;1;26;A1
2630;347;1042;394;1109;308;1188;1708;623;920;910;1;31;A2
2648;321;930;348;907;275;1148;1746;561;757;680;1;19;A3
2657;368;1040;417;1144;325;1273;1738;631;970;957;1;28;A1
2673;319;1006;375;983;294;1152;1719;640;865;776;1;22;A2
2674;298;939;346;927;278;1095;1735;538;840;682;1;32;A3
2689;354;947;377;981;325;1129;1772;578;797;755;1;19;A1
2713;407;1077;419;1076;338;1295;1873;661;943;1026;1;24;A2
2721;320;879;374;968;268;1092;1697;520;765;649;1;23;A3
2730;332;962;379;954;291;1174;1758;573;791;749;1;20;A1
2743;352;994;380;1031;306;1170;1817;632;840;830;1;26;A2
2760;378;1114;423;1171;314;1246;1870;689;1013;1049;1;25;A3
2785;347;1059;392;1037;309;1216;1868;646;896;935;1;38;A1
2804;289;978;356;934;275;1106;1784;573;808;709;1;20;A2
2821;343;1000;395;1037;319;1162;1763;626;827;805;1;22;A3
2822;320;1008;397;984;294;1154;1749;630;876;804;1;31;A1
2825;312;979;386;948;292;1145;1752;619;813;776;1;28;A2
2856;332;951;361;1016;303;1186;1784;573;857;745;1;27;A3
2878;303;918;349;905;285;1079;1769;542;779;681;1;29;A1
2890;344;1035;404;1043;310;1188;1776;646;935;883;1;42;A2
2896;322;958;367;928;297;1102;1733;546;851;718;1;40;A3
2906;335;1012;400;955;294;1158;1784;612;788;799;1;21;A1
2916;310;918;373;931;292;1086;1715;583;808;678;1;18;A2
2926;285;949;370;918;279;1154;1778;538;751;687;1;19;A3
2932;362;1078;406;1098;312;1251;1757;678;967;933;1;23;A1
2933;332;1059;358;1051;304;1130;1780;633;906;835;1;35;A2
2936;288;871;350;883;295;1075;1794;542;734;661;1;25;A3
2937;337;964;381;976;312;1166;1752;596;804;765;1;19;A1
2941;268;920;358;912;288;1107;1805;512;718;660;1;37;A2
2947;333;1016;376;967;314;1161;1803;646;811;813;1;23;A3
2955;371;955;373;1045;334;1216;1855;585;847;809;1;19;A1
2960;303;942;353;887;275;1148;1864;529;778;702;1;38;A2
2987;292;891;342;905;282;1071;1714;522;727;615;1;26;A3
2988;375;1039;390;1017;318;1134;1803;629;845;872;1;23;A1
3001;328;994;397;1004;292;1196;1762;628;825;797;1;25;A2
3011;356;1080;423;1128;327;1266;1823;673;1006;1042;1;31;A3
3012;310;950;356;998;288;1174;1779;522;770;683;1;19;A1
3023;334;1036;413;993;291;1180;1894;625;853;865;1;23;A2
3024;371;1072;399;1123;310;1209;1762;659;1002;920;1;37;A3
3029;418;985;404;1119;347;1278;1882;589;872;908;1;38;A1
3036;310;971;375;919;292;1117;1836;583;760;755;1;19;A2
3040;307;952;380;892;274;1089;1660;574;796;680;1;36;A3
3041;325;920;387;966;296;1145;1673;561;841;698;1;31;A1
3043;317;984;376;935;289;1146;1871;593;789;806;1;20;A2
3045;342;1014;385;1011;312;1208;1746;642;938;853;1;26;A3
3049;338;957;375;958;304;1158;1749;587;766;732;1;21;A1
3060;343;1012;390;977;303;1175;1730;606;855;806;1;24;A2
3193;329;1002;383;939;300;1107;1772;621;834;794;1;23;A3
3208;300;895;335;865;275;1079;1629;537;748;603;1;19;A1
3216;309;900;345;929;300;1113;1654;525;750;608;1;22;A2
3224;340;1014;382;1039;297;1184;1792;638;902;879;1;20;A3
3246;315;970;385;928;287;1168;1839;575;793;768;1;30;A1
3253;334;968;375;1033;286;1125;1689;596;842;741;1;31;A2
3255;300;960;346;956;285;1126;1762;543;784;696;1;21;A3
3257;325;944;346;956;302;1125;1756;569;843;740;1;20;A1
3262;312;930;358;950;283;1115;1704;548;804;676;1;33;A2
3283;333;1048;411;1010;321;1225;1826;626;830;846;1;19;A3
3296;339;969;376;1095;311;1238;1723;550;945;800;1;39;A1
3303;317;1017;385;1039;278;1154;1757;627;898;815;1;33;A2
3319;340;1080;418;1029;308;1172;1834;650;876;882;1;27;A3
3342;307;917;367;864;282;1100;1751;521;725;649;1;19;A1
3344;372;1009;410;1062;313;1232;1678;643;900;854;1;24;A2
3348;340;914;360;968;318;1139;1758;571;821;746;1;21;A3
3379;330;909;345;975;277;1154;1638;531;776;631;1;23;A1
3380;274;885;342;846;253;1022;1651;547;702;569;1;22;A2
3390;293;916;333;882;276;1046;1715;539;744;639;1;19;A3
3398;310;970;386;926;285;1152;1671;591;788;697;1;21;A1
3407;352;1038;407;1013;341;1194;1754;639;900;880;1;27;A2
3422;370;1073;414;1047;343;1206;1786;689;894;940;1;20;A3
3437;405;1131;425;1182;363;1291;1942;690;1064;1217;1;32;A1
3453;300;946;337;958;269;1116;1685;560;784;657;1;23;A2
3484;305;960;375;933;289;1058;1804;565;799;719;1;19;A3
3508;329;994;373;1038;311;1229;1759;615;948;823;1;38;A1
3510;339;978;380;951;314;1156;1671;645;808;742;1;25;A2
3516;317;920;362;961;292;1108;1769;551;796;714;1;32;A3
3531;342;958;377;946;304;1101;1683;612;785;719;1;19;A1
3535;318;879;394;897;298;1098;1692;550;737;651;1;31;A2
3538;332;929;354;928;300;1107;1722;562;847;683;1;27;A3
3542;275;808;308;869;259;1004;1628;458;720;499;1;35;A1
3557;306;938;364;907;280;1089;1659;570;808;668;1;25;A2
3571;320;955;380;973;292;1136;1784;587;883;767;1;18;A3
3572;331;1002;380;965;303;1123;1727;591;872;656;1;35;A1
3575;335;986;341;976;302;1181;1869;585;844;794;1;20;A2
3579;324;956;394;964;295;1169;1788;566;832;770;1;23;A3
3585;306;945;346;996;274;1151;1830;527;803;726;1;20;A1
3607;332;1095;392;1066;291;1106;1701;659;951;880;1;21;A2
3609;342;980;386;945;309;1107;1670;619;830;735;1;25;A3
3627;337;968;371;993;290;1160;1729;594;822;746;1;21;A1
3631;330;985;375;962;292;1159;1702;604;838;726;1;18;A2
3638;330;974;380;972;302;1144;1762;592;817;753;1;22;A3
3648;316;959;343;965;292;1017;1706;542;825;671;1;42;A1
3657;333;954;379;1014;312;1106;1711;594;863;767;1;31;A2
3660;303;920;357;928;291;1095;1786;558;766;673;1;32;A3
3670;311;981;385;979;286;1097;1806;589;805;774;1;26;A1
3686;354;1066;385;1008;313;1175;1777;674;864;873;1;24;A2
3719;318;954;359;905;300;1148;1737;570;748;699;1;20;A3
3761;398;1054;388;1054;316;1201;1804;658;917;891;1;25;A1
3771;362;1118;419;1133;319;1247;1864;705;967;1038;1;38;A2
3774;361;898;375;987;299;1146;1698;553;759;704;1;23;A3
3813;302;922;378;955;285;1087;1710;530;800;681;1;37;A1
3815;358;1088;413;1098;320;1288;1855;668;961;985;1;35;A2
3836;391;1014;399;1095;333;1264;1767;646;913;907;1;32;A3
3880;318;1013;375;1032;301;1117;1842;578;889;801;1;41;A1
3883;336;1024;404;1043;310;1185;1675;623;936;813;1;36;A2
3884;300;941;355;965;293;1125;1764;549;812;706;1;35;A3
3885;318;922;333;1006;296;1162;1724;551;856;724;1;38;A1
3886;335;1028;386;984;311;1165;1786;625;866;850;1;35;A2
3887;307;1029;393;1053;304;1215;1795;607;888;860;1;35;A3
3895;337;1032;363;980;296;1137;1731;649;808;785;1;32;A1
3978;305;984;371;945;293;1112;1781;570;838;745;1;33;A2
3982;351;1087;406;1091;315;1207;1738;638;992;910;1;39;A3
3983;338;998;374;1031;287;1179;1763;613;858;788;1;38;A1
3984;325;1045;406;1046;296;1229;1775;660;974;913;1;40;A2
3985;338;1012;376;1119;325;1234;1785;638;925;869;1;31;A3
4217;333;937;381;1037;324;1248;1822;585;806;803;1;30;A1
4236;339;985;367;991;304;1174;1702;569;832;730;1;34;A2
4242;327;997;404;999;297;1210;1661;596;897;789;1;36;A3
4253;322;943;327;1056;284;1166;1695;575;846;715;1;28;A1
4255;307;1005;358;992;282;1153;1873;588;843;777;1;25;A2
4256;362;1092;414;1085;327;1282;1886;666;925;988;1;27;A3
4268;327;985;376;1007;295;1183;1819;577;813;760;1;23;A1
4272;352;985;395;981;311;1166;1755;592;827;775;1;19;A2
4273;315;935;357;991;281;1178;1692;586;860;713;1;22;A3
4274;328;951;381;938;308;1178;1761;579;795;754;1;19;A1
4276;323;923;381;956;295;1175;1755;552;799;718;1;19;A2
4277;313;922;359;975;288;1180;1720;556;812;705;1;23;A3
4301;330;991;414;959;305;1154;1842;614;802;825;1;19;A1
4329;301;880;324;895;281;1118;1727;500;752;621;1;25;A2
4347;331;993;389;1020;312;1162;1749;613;842;827;1;25;A3
4354;342;976;376;1050;311;1265;1693;600;876;787;1;22;A1
4393;293;858;320;850;273;1085;1647;482;675;565;1;20;A2
4419;315;982;403;954;304;1172;1773;601;760;775;1;18;A3
4444;352;1097;449;1061;344;1237;1796;670;955;983;1;32;A1
4452;334;1043;378;976;296;1195;1794;620;855;840;1;22;A2
4460;338;924;360;931;310;1137;1726;596;748;704;1;20;A3
4493;325;907;343;882;283;1096;1736;521;796;639;1;25;A1
4509;321;901;345;947;278;1134;1649;515;823;655;1;25;A2
4511;308;896;360;914;287;1089;1674;544;741;609;1;21;A3
4513;343;998;379;1036;297;1201;1703;589;879;771;1;33;A1
4514;311;1001;374;972;314;1142;1737;625;837;770;1;25;A2
4525;332;970;373;979;300;1169;1711;592;816;739;1;33;A3
4531;337;891;357;915;301;1083;1615;542;773;626;1;22;A1
4580;312;999;399;995;277;1170;1694;614;859;773;1;20;A2
4638;410;1029;416;1144;337;1270;1577;658;902;855;1;25;A3
4645;335;1036;366;1064;296;1265;1793;609;894;840;1;25;A1
4677;366;1049;367;1082;307;1284;1746;642;931;880;1;34;A2
4678;368;1054;418;1124;338;1259;1808;631;939;946;1;28;A3
4679;332;974;379;1008;285;1167;1712;598;878;739;1;43;A1
4692;352;1020;405;1014;324;1219;1740;608;859;843;1;25;A2
4701;336;949;388;945;312;1177;1829;593;772;777;1;22;A3
4716;338;898;360;924;312;1141;1652;546;731;643;1;21;A1
4728;330;972;372;1002;318;1198;1763;573;832;760;1;27;A2
4736;378;1101;437;1079;336;1263;1888;706;929;1032;1;30;A3
4755;310;927;364;898;293;1088;1725;563;790;688;1;21;A1
4768;376;1038;395;1040;335;1188;1762;671;847;859;1;19;A2
4769;335;1029;406;978;310;1205;1782;633;839;822;1;20;A3
4771;360;1018;426;1016;320;1219;1798;635;863;885;1;18;A1
4777;315;1027;370;970;284;1153;1788;612;823;766;1;40;A2
4778;340;999;383;998;307;1191;1796;619;848;822;1;29;A3
4783;323;972;375;975;312;1165;1758;569;811;758;1;34;A1
4823;362;1050;397;1115;321;1328;1814;663;954;933;1;25;A2
4824;330;1020;384;1004;304;1193;1700;638;882;788;1;21;A3
4863;329;908;359;944;288;1101;1633;568;741;621;1;19;A1
4873;320;1008;378;983;285;1122;1684;606;925;749;1;33;A2
4885;325;988;398;1009;321;1214;1823;596;822;815;1;32;A3
4891;295;925;359;903;278;1067;1746;535;779;658;1;20;A1
4935;365;937;371;1011;323;1210;1746;584;779;754;1;21;A2
4945;335;965;383;983;290;1152;1876;611;814;777;1;28;A3
4952;334;938;358;929;295;1130;1820;545;782;719;1;20;A1
4954;325;955;400;966;308;1168;1798;590;785;790;1;22;A2
4996;335;986;374;1057;305;1171;1762;593;908;823;1;38;A3
5013;357;983;369;1021;318;1185;1696;600;927;786;1;34;A1
5014;322;946;368;943;283;1117;1643;565;764;646;1;33;A2
5015;364;1003;396;1033;318;1153;1736;634;853;849;1;44;A3
5023;330;990;379;1007;302;1187;1755;584;856;770;1;41;A1
5027;319;1028;390;1034;293;1233;1791;618;912;852;1;34;A2
5031;374;1041;386;969;328;1209;1700;629;881;818;1;42;A3
5069;324;1019;379;954;280;1144;1705;640;855;779;1;41;A1
5100;312;945;342;958;270;1134;1752;564;793;672;1;31;A2
5106;365;929;354;988;308;1165;1660;597;799;703;1;27;A3
5153;357;1011;395;1035;317;1228;1666;633;900;828;1;43;A1
5155;290;902;341;892;277;1101;1677;520;730;597;1;21;A2
5156;310;938;346;926;284;1091;1652;542;823;673;1;37;A3
5205;296;921;366;874;273;1064;1828;496;765;652;1;44;A1
5206;328;1014;387;1062;300;1171;1862;600;924;877;1;39;A2
5209;325;922;361;892;298;1132;1774;527;728;684;1;21;A3
5214;345;933;398;938;307;1158;1714;597;829;772;1;23;A1
5221;324;931;362;949;299;1157;1682;528;776;685;1;23;A2
5241;330;958;378;953;294;1159;1653;587;802;703;1;34;A3
5270;335;1018;423;1036;326;1236;1763;606;952;868;1;44;A1
5273;375;977;382;999;328;1203;1715;620;841;784;1;25;A2
5282;321;985;368;1086;292;1189;1775;565;907;828;1;39;A3
5290;370;1044;412;996;306;1248;1741;624;884;842;1;31;A1
5300;308;848;331;878;281;1057;1570;512;747;550;1;24;A2
5312;350;1034;386;990;315;1204;1784;624;886;837;1;29;A3
5322;360;968;370;1055;315;1206;1651;591;943;760;1;38;A1
5323;359;1002;401;1059;323;1198;1728;614;863;820;1;37;A2
5325;320;946;360;1006;285;1162;1658;568;854;697;1;22;A3
5326;317;946;361;972;288;1114;1638;569;805;652;1;27;A1
5333;345;1080;393;1145;309;1269;1868;618;949;959;1;35;A2
5357;320;934;331;967;288;1153;1772;560;793;685;1;22;A3
5372;305;920;353;899;291;1091;1660;550;739;620;1;26;A1
5397;292;871;338;870;282;1066;1643;534;719;572;1;22;A2
5409;287;942;350;927;281;1120;1765;527;775;653;1;30;A3
5410;345;982;391;1016;297;1195;1750;595;851;775;1;32;A1
5433;407;1032;385;1056;327;1213;1652;607;920;841;1;28;A2
5467;323;986;383;977;287;1158;1798;600;860;803;1;21;A3
5480;367;1049;417;985;327;1218;1753;660;864;864;1;26;A1
5481;343;1029;406;1032;317;1254;1870;621;902;914;1;33;A2
5494;327;956;364;925;288;1098;1717;590;794;694;1;26;A3
5553;312;911;353;897;283;1104;1779;533;754;653;1;23;A1
5579;345;1005;390;1027;317;1203;1784;622;884;854;1;35;A2
5595;345;932;370;998;302;1228;1672;547;876;743;1;35;A3
5604;370;1042;389;1037;310;1207;1717;670;861;852;1;24;A1
5649;340;1013;383;1046;314;1217;1768;621;886;844;1;19;A2
5654;337;952;354;951;306;1156;1703;566;788;709;1;28;A3
5709;322;972;370;967;296;1140;1744;575;862;744;1;22;A1
5720;382;1133;424;1145;345;1266;1828;723;1012;1083;1;45;A2
5724;378;1083;389;1110;321;1264;1885;692;921;988;1;29;A3
5744;340;989;372;955;313;1179;1753;605;831;771;1;22;A1
5796;312;892;342;931;289;1067;1706;549;738;656;1;27;A2
5800;322;919;342;912;289;1098;1741;542;762;654;1;22;A3
5826;328;958;361;946;295;1126;1632;598;840;708;1;38;A1
5827;325;981;376;1065;304;1176;1792;569;898;818;1;41;A2
5852;315;1006;401;1014;289;1209;1837;613;860;825;1;20;A3
5878;345;906;347;963;311;1192;1702;542;752;644;1;19;A1
5911;333;972;378;983;299;1148;1782;595;873;792;1;22;A2
5937;315;938;385;937;293;1096;1683;575;796;708;1;20;A3
5940;342;941;389;961;302;1203;2012;555;779;846;1;20;A1
5959;358;1065;420;1140;315;1258;1854;651;1003;1011;1;31;A2
5964;352;1005;381;1033;317;1221;1760;642;873;850;1;35;A3
5973;302;927;354;986;292;1160;1802;498;821;696;1;39;A1
6012;360;1069;385;1072;317;1258;1744;659;939;880;1;25;A2
6027;350;1063;420;1012;327;1208;1872;675;894;932;1;22;A3
6030;352;1020;409;1073;300;1256;1697;618;904;838;1;37;A1
